Name,Day,Date,Raid,Type,Reason,Points,Alt or 2nd Main,Class,Guild Rank,Alt,DKP Rank,Attendance Calc,Level
Aafen,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Aano,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,1.33,#N/A
Abram,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,12.80,#N/A
Addison,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,11.67,#N/A
Advenia,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Magician,<<< Class Lead >>>,,Main,15.00,70
Aeldwyn,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,1.60,#N/A
Albright,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Paladin,Raider,,Main,44.80,70
Albronn,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,6.33,#N/A
Amanar,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,11.30,#N/A
Annya,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Necromancer,<<< Officer >>>,A,zAlt,1.00,70
Apparent,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,1.00,#N/A
Arandyl,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Arrowhead,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,1.75,#N/A
Artulu,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,3.05,#N/A
Ayrphish,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Baconlegs,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Monk,<<< Officer >>>,,Main,53.30,70
Baddle,Sun,01/31/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Rogue,Raider,,Main,7.50,66
Baglunch,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.40,#N/A
Banis,Sun,05/16/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Druid,Inactive,,zInactive,84.68,61
Barman,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Bayrphish,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
